Z,Simple,Single,Frugal,Over,Super,Bed,Every
13.13,32958.397,37334.644,37930.233,38880.4,40685.071,39212.677,41294.796
13.18,33415.103,37814.189,38429.917,39378.198,41199.89,39717.609,41821.159
13.23,33876.712,38301.026,38933.329,39879.75,41718.642,40226.31,42354.085
13.28,34344.303,38797.712,39440.841,40385.427,42241.626,40739.278,42891.118
13.33,34813.353,39296.768,39951.235,40894.011,42767.922,41254.711,43432.153
13.38,35283.845,39798.164,40464.476,41405.466,43297.499,41772.582,43977.158
13.43,35755.762,40301.87,40980.527,41919.755,43830.33,42292.868,44526.102
13.48,36229.086,40807.858,41499.354,42436.844,44366.386,42815.546,45078.957
13.53,36716.302,41322.734,42026.572,42962.345,44909.546,43348.392,45636.061
13.58,37213.359,41844.448,42560.484,43494.564,45458.674,43888.951,46198.007
13.63,37711.939,42368.595,43097.34,44029.749,46011.174,44432.037,46764.282
13.68,38212.022,42895.145,43637.102,44567.861,46567.007,44977.625,47334.668
13.73,38713.593,43424.066,44179.732,45108.861,47126.135,45525.689,47909.044
13.78,39216.633,43955.33,44725.193,45652.715,47688.522,46076.204,48487.328
13.83,39707.639,44485.855,45271.293,46197.227,48253.201,46624.745,49069.6
13.88,40145.536,45006.121,45811.225,46735.591,48817.22,47157.725,49656.378
13.93,40590.863,45531.977,46356.788,47279.606,49386.634,47696.99,50247.366
